timestamp,imu_timestamp,x,y,z
1743274832089,1743275817998.14,4.07714416320731,-4.583055714957697,2.096495171406269
1743274832122,1743274832324.0,1.4748282,-9.011775,2.5953147
1743274832156,1743274832341.0,1.7908629,-9.021352,2.873042
1743274832189,1743274832371.5,1.2138603,-11.467029,2.2517467
1743274832222,1743274832462.8572,1.922543942857143,-8.229555285714286,2.6596160714285717
1743274832256,1743274832572.5,2.96940865,-5.9603651,1.4209587
1743274832289,1743274832643.3333,6.203376433333333,-4.771643999999999,1.731805933333333
1743274832322,1743274832692.5,12.148178999999999,-6.388927000000001,2.6934769000000003
1743274832356,1743274832725.0,15.138537,-10.299856,1.3934253
1743274832389,1743274832751.5,18.340782,-13.571532000000001,-2.3439235
1743274832422,1743274832782.0,21.337126,-12.794614,-4.6495395
1743274832456,1743274832822.6667,24.072900333333333,-3.9209042666666662,-3.777252366666667
1743274832489,1743274832862.0,24.289177,2.9855695,-0.4405331
1743274832522,1743274832892.5,20.708648,3.5793315,2.19787715
1743274832556,1743274832926.0,17.233463,-1.6567876,3.940856
1743274832589,1743274832952.5,13.9797435,2.16794955,0.5303156499999999
1743274832622,1743274832982.0,10.778696,5.571307,-2.8107927
1743274832656,1743275817998.14,4.07714416320731,-4.583055714957697,2.096495171406269
1743274832689,1743274833013.0,8.8070705,9.01297225,-6.252457850000001
1743274832722,1743274833042.0,2.9041667,8.623915,-5.2887917
1743274832756,1743275817998.14,4.07714416320731,-4.583055714957697,2.096495171406269
1743274832789,1743274833072.5,4.99310765,6.2859767,-5.62158565
1743274832822,1743274833104.0,6.9383965,4.060566,-5.140351
1743274832856,1743275817998.14,4.07714416320731,-4.583055714957697,2.096495171406269
1743274832889,1743274833133.5,7.049726999999999,2.2325931,-0.38067805000000005
1743274832922,1743274833194.25,4.774038225,2.348711775,-3.57214891
1743274832956,1743274833284.0,7.632235800000001,-3.4438197799999997,-1.884236808
1743274832989,1743274833354.0,12.579135999999998,3.8091747499999995,8.548497000000001
1743274833022,1743274833384.0,11.585542,-3.2561142,7.4627266
1743274833056,1743274833418.5,11.601104,1.12766894,-0.27772734999999993
1743274833089,1743274833454.0,7.0233905,-1.6124948999999997,3.7397431500000002
1743274833122,1743274833494.5,8.457517249999999,-1.4377181500000003,3.4799721
1743274833156,1743274833528.0,6.576872,11.255142,-0.3184288
1743274833189,1743274833554.0,7.832631,10.89960315,3.47039545
1743274833222,1743274833584.0,10.66138,0.9696517,2.3343468
1743274833255,1743274833618.0,11.7016605,1.0402806500000001,2.0925323000000002
1743274833289,1743274833654.0,12.72278775,2.0051438999999998,0.9205706
1743274833322,1743274833685.0,12.670115,4.3287168,-0.38067806
1743274833355,1743274833709.0,11.35091,6.1243677,0.21068975
1743274833389,1743275817998.14,4.07714416320731,-4.583055714957697,2.096495171406269
1743274833422,1743274833736.5,9.1087405,5.3833625000000005,0.23343464999999997
1743274833455,1743275817998.14,4.07714416320731,-4.583055714957697,2.096495171406269
1743274833489,1743274833774.0,11.054029,-0.913387935,0.9600748750000001
1743274833522,1743274833810.0,10.25676,0.2801216,0.38067806
1743274833555,1743274833827.0,7.9104424,3.0765493,0.45729253
1743274833589,1743275817998.14,4.07714416320731,-4.583055714957697,2.096495171406269
1743274833622,1743274833845.0,7.5561004,3.7612908,1.8171991
1743274833655,1743274833906.2,9.1855944,4.39575422,4.4623132
1743274833689,1743274834006.6,8.1225686,0.8202534759999999,5.06086348
1743274833722,1743274834075.0,10.376471,-6.96952105,2.8945898999999997
1743274833755,1743274834118.5,13.529634,-5.270834949999999,0.493205545
1743274833789,1743274834155.0,14.53879,-6.43681145,4.3478703
1743274833822,1743274834185.0,10.965444,-10.014946,6.0716953
1743274833855,1743274834219.5,7.1155675,-7.57285985,6.1961939
1743274833889,1743274834256.0,3.0346505500000003,-4.5370123,5.23971025
1743274833922,1743274834286.0,2.468422,-4.261679,4.3766007
1743274833955,1743274834318.5,3.32554615,-4.4771571,3.44405915
1743274833989,1743274834356.0,3.9121256,-3.33272865,4.37300915
1743274834022,1743274834386.0,4.1132383,-5.044583,4.1802764
1743274834055,1743274834420.5,4.2161895000000005,-3.0011318,3.09929405
