timestamp,mac,index,imu_timestamp,x,y,z
1743202790596,B0:4A:6A:49:5A:61,59,1743202789708,8.875306,-2.054225,1.1803415
1743202790597,B0:4A:6A:49:5A:61,60,1743202789728,9.050082,-1.163582,1.0079589
1743202790637,B0:4A:6A:49:5A:61,61,1743202789748,9.459491,-0.2873042,1.1300632
1743202790704,B0:4A:6A:49:5A:61,62,1743202789768,9.476251,-0.37349546,1.5514427
1743202790720,B0:4A:6A:49:5A:61,63,1743202789788,8.805874,-0.50038815,1.8579005
1743202790724,B0:4A:6A:49:5A:61,64,1743202789809,8.463503,-0.6392518,1.7070658
1743202790724,B0:4A:6A:49:5A:61,65,1743202789828,8.710106,-0.770933,1.4030021
1743202790724,B0:4A:6A:49:5A:61,66,1743202789849,9.006987,-1.2234371,0.9528923
1743202790724,B0:4A:6A:49:5A:61,67,1743202789868,9.461885,-1.0390835,0.80924016
1743202790724,B0:4A:6A:49:5A:61,68,1743202789889,11.824963,-1.4796166,-0.56982
1743202790724,B0:4A:6A:49:5A:61,69,1743202789908,12.856863,-3.2034419,0.5746084
1743202790737,B0:4A:6A:49:5A:61,70,1743202789927,11.508927,-3.904943,3.799598
1743202790740,B0:4A:6A:49:5A:61,71,1743202789949,11.068395,-3.241749,4.841076
1743202790742,B0:4A:6A:49:5A:61,72,1743202789969,13.551182,-2.6910827,5.130774
1743202790756,B0:4A:6A:49:5A:61,73,1743202789989,18.030733,-2.7246015,4.0174704
1743202790760,B0:4A:6A:49:5A:61,74,1743202790008,21.887793,-2.896984,2.3558946
1743202790770,B0:4A:6A:49:5A:61,75,1743202790028,17.922995,-3.478775,2.066196
1743202790782,B0:4A:6A:49:5A:61,76,1743202790047,12.480973,-3.3518825,2.5115175
1743202790804,B0:4A:6A:49:5A:61,77,1743202790069,8.836999,-1.697489,2.1308396
1743202790822,B0:4A:6A:49:5A:61,78,1743202790089,7.2592196,-0.16519992,1.4915876
1743202790840,B0:4A:6A:49:5A:61,79,1743202790108,7.615956,-0.93134445,0.6967127
1743202790866,B0:4A:6A:49:5A:61,80,1743202790129,8.214506,-1.6687586,-0.090979666
1743202790879,B0:4A:6A:49:5A:61,81,1743202790147,8.884883,-2.1164744,-0.6488287
1743202790903,B0:4A:6A:49:5A:61,82,1743202790169,10.058042,-3.4500446,-0.5267244
1743202790923,B0:4A:6A:49:5A:61,83,1743202790190,11.7627125,-5.619191,-0.272939
1743202790941,B0:4A:6A:49:5A:61,84,1743202790209,12.373235,-7.493851,-0.090979666
1743202790965,B0:4A:6A:49:5A:61,85,1743202790229,11.654974,-8.568848,0.10534488
1743202790984,B0:4A:6A:49:5A:61,86,1743202790250,10.338163,-9.325416,0.5434838
1743202791002,B0:4A:6A:49:5A:61,87,1743202790270,9.188946,-9.308656,0.8882488
1743202791023,B0:4A:6A:49:5A:61,88,1743202790289,9.605537,-7.5106106,0.5793968
1743202791041,B0:4A:6A:49:5A:61,89,1743202790309,8.7292595,-6.7085533,0.24181437
1743202791066,B0:4A:6A:49:5A:61,90,1743202790331,6.945579,-6.2345014,0.4213795
1743202791144,B0:4A:6A:49:5A:61,91,1743202790349,6.289568,-5.8825536,0.023942016
1743202791145,B0:4A:6A:49:5A:61,92,1743202790370,10.553641,-8.559271,0.25139117
1743202791183,B0:4A:6A:49:5A:61,93,1743202790390,11.145009,-10.986992,0.61770403
1743202791241,B0:4A:6A:49:5A:61,94,1743202790410,10.34774,-11.484985,-0.09816227
1743202791244,B0:4A:6A:49:5A:61,95,1743202790429,15.423448,-10.177752,-1.9009962
1743202791284,B0:4A:6A:49:5A:61,96,1743202790451,17.580624,-7.4124484,-2.4540567
1743202791340,B0:4A:6A:49:5A:61,97,1743202790471,18.72984,-5.8203044,-2.0494366
1743202791377,B0:4A:6A:49:5A:61,98,1743202790491,20.321983,-5.401319,-1.1204864
1743202791409,B0:4A:6A:49:5A:61,99,1743202790510,18.054674,-4.7979803,-0.17717093
1743202791410,B0:4A:6A:49:5A:61,100,1743202790530,14.626178,-4.220978,0.24660277
1743202791410,B0:4A:6A:49:5A:61,101,1743202790552,12.509704,-4.0533834,0.24660277
1743202791411,B0:4A:6A:49:5A:61,102,1743202790569,11.777079,-4.132392,0.28491
1743202791425,B0:4A:6A:49:5A:61,103,1743202790591,11.887212,-4.086902,-0.033518825
1743202791428,B0:4A:6A:49:5A:61,104,1743202790611,12.294226,-3.5362358,-0.5602432
1743202791438,B0:4A:6A:49:5A:61,105,1743202790632,12.497733,-3.122039,-0.8571242
1743202791440,B0:4A:6A:49:5A:61,106,1743202790651,12.464214,-2.8802247,-0.7517793
1743202791449,B0:4A:6A:49:5A:61,107,1743202790671,12.368446,-2.6862943,-0.50517654
1743202791450,B0:4A:6A:49:5A:61,108,1743202790692,12.260707,-2.4899697,-0.51235914
1743202791452,B0:4A:6A:49:5A:61,109,1743202790710,12.361263,-2.4277205,-0.7038953
1743202791466,B0:4A:6A:49:5A:61,110,1743202790731,12.9167185,-2.2409728,-0.7374141
1743202791483,B0:4A:6A:49:5A:61,111,1743202790751,13.972561,-2.315193,-0.5386954
1743202791513,B0:4A:6A:49:5A:61,112,1743202790771,14.128184,-2.3247697,-0.6368576
1743202791524,B0:4A:6A:49:5A:61,113,1743202790792,12.349293,-1.9608512,-1.0414777
1743202791547,B0:4A:6A:49:5A:61,114,1743202790811,10.7356,-1.2018893,-1.1755531
1743202791563,B0:4A:6A:49:5A:61,115,1743202790831,12.014104,-1.1228806,-3.1028855
1743202791589,B0:4A:6A:49:5A:61,116,1743202790852,9.131485,-2.3319526,-1.7022774
1743202791602,B0:4A:6A:49:5A:61,117,1743202790870,7.297527,-3.9097314,3.4524388
1743202791625,B0:4A:6A:49:5A:61,118,1743202790892,7.513005,-4.1036615,6.481104
1743202791647,B0:4A:6A:49:5A:61,119,1743202790911,8.200141,-3.9121256,9.28232
1743202791666,B0:4A:6A:49:5A:61,120,1743202790931,11.20247,-4.285621,7.5321584
1743202791687,B0:4A:6A:49:5A:61,121,1743202790952,14.535198,-2.834735,3.6343982
1743202791705,B0:4A:6A:49:5A:61,122,1743202790970,13.725958,-0.89064306,0.19393034
1743202791730,B0:4A:6A:49:5A:61,123,1743202790993,10.0269165,0.8595184,-0.33997664
1743202791746,B0:4A:6A:49:5A:61,124,1743202791012,7.848193,2.837129,0.47884035
