timestamp,mac,index,imu_timestamp,x,y,z
1743192625093,B0:4A:6A:49:5A:61,1,1743192624581,8.738836,1.271321,4.3957543
1743192625119,B0:4A:6A:49:5A:61,2,1743192624601,8.686164,1.42455,4.4101195
1743192625133,B0:4A:6A:49:5A:61,3,1743192624623,8.868123,1.4341269,4.2760444
1743192625160,B0:4A:6A:49:5A:61,4,1743192624643,8.832211,1.4748282,4.321534
1743192625179,B0:4A:6A:49:5A:61,5,1743192624663,8.827422,1.316811,4.3023806
1743192625209,B0:4A:6A:49:5A:61,6,1743192624683,8.865729,1.328782,4.259285
1743192625288,B0:4A:6A:49:5A:61,7,1743192624703,8.836999,1.6663644,4.122815
1743192625296,B0:4A:6A:49:5A:61,8,1743192624724,8.875306,1.5586253,4.2664676
1743192625297,B0:4A:6A:49:5A:61,9,1743192624743,8.762778,1.4030021,4.31914
1743192625310,B0:4A:6A:49:5A:61,10,1743192624763,8.853758,1.3982137,4.43885
1743192625317,B0:4A:6A:49:5A:61,11,1743192624784,8.731653,1.4460979,4.417302
1743192625318,B0:4A:6A:49:5A:61,12,1743192624804,8.808268,1.721431,4.213795
1743192625344,B0:4A:6A:49:5A:61,13,1743192624825,8.918402,1.6352397,4.297592
1743192625362,B0:4A:6A:49:5A:61,14,1743192624846,8.899248,1.5394717,4.1922474
1743192625386,B0:4A:6A:49:5A:61,15,1743192624865,8.805874,1.7046716,4.2760444
1743192625404,B0:4A:6A:49:5A:61,16,1743192624883,8.832211,1.8124107,4.132392
1743192625422,B0:4A:6A:49:5A:61,17,1743192624904,8.760384,1.7836803,4.237737
1743192625444,B0:4A:6A:49:5A:61,18,1743192624925,8.9040365,1.6998832,4.2281604
1743192625461,B0:4A:6A:49:5A:61,19,1743192624944,8.913613,1.7070658,4.209007
1743192625474,B0:4A:6A:49:5A:61,20,1743192624964,8.966286,1.7046716,4.010288
1743192625497,B0:4A:6A:49:5A:61,21,1743192624985,8.918402,1.7429788,4.0342298
1743192625526,B0:4A:6A:49:5A:61,22,1743192625004,8.925584,2.0518308,3.9480386
1743192625545,B0:4A:6A:49:5A:61,23,1743192625026,8.942344,2.0733786,3.9935284
1743192625563,B0:4A:6A:49:5A:61,24,1743192625045,8.942344,1.9656396,3.916914
1743192625612,B0:4A:6A:49:5A:61,25,1743192625064,8.875306,1.9201498,3.9935284
1743192625614,B0:4A:6A:49:5A:61,26,1743192625085,8.925584,2.1212628,3.8953662
1743192625620,B0:4A:6A:49:5A:61,27,1743192625105,8.901642,2.4995465,3.691859
1743192625641,B0:4A:6A:49:5A:61,28,1743192625126,8.963891,2.384625,3.5769374
1743192625657,B0:4A:6A:49:5A:61,29,1743192625145,8.889671,2.2864625,3.8522706
1743192625681,B0:4A:6A:49:5A:61,30,1743192625166,8.89446,2.4588451,3.8355112
1743192625700,B0:4A:6A:49:5A:61,31,1743192625186,8.865729,2.5833437,3.667917
1743192625726,B0:4A:6A:49:5A:61,32,1743192625206,8.817844,2.7485435,3.4284968
1743192625751,B0:4A:6A:49:5A:61,33,1743192625227,8.932767,2.6623523,3.4356794
1743192625764,B0:4A:6A:49:5A:61,34,1743192625247,8.89446,2.7485435,3.4165258
1743192625778,B0:4A:6A:49:5A:61,35,1743192625266,8.880095,2.7341783,3.5218706
1743192625802,B0:4A:6A:49:5A:61,36,1743192625286,8.762778,2.6839,3.442862
1743192625821,B0:4A:6A:49:5A:61,37,1743192625307,8.89446,2.9855695,3.071761
1743192625849,B0:4A:6A:49:5A:61,38,1743192625329,8.781932,3.052607,2.9855695
1743192625860,B0:4A:6A:49:5A:61,39,1743192625348,8.925584,3.0095115,3.205836
1743192625887,B0:4A:6A:49:5A:61,40,1743192625370,8.865729,2.9759927,3.1364043
1743192625915,B0:4A:6A:49:5A:61,41,1743192625386,8.930372,2.8682537,3.0358477
1743192625956,B0:4A:6A:49:5A:61,42,1743192625406,9.02614,3.1866825,2.7820623
1743192625958,B0:4A:6A:49:5A:61,43,1743192625428,8.992621,3.6822822,2.3104045
1743192625968,B0:4A:6A:49:5A:61,44,1743192625447,8.973468,3.53863,2.3558946
1743192625983,B0:4A:6A:49:5A:61,45,1743192625467,9.081207,3.3638535,2.669535
1743192626007,B0:4A:6A:49:5A:61,46,1743192625488,9.054871,3.2800562,2.717419
1743192626026,B0:4A:6A:49:5A:61,47,1743192625507,8.892065,3.655946,2.8802247
1743192626042,B0:4A:6A:49:5A:61,48,1743192625528,9.174581,4.0222588,2.0829554
1743192626063,B0:4A:6A:49:5A:61,49,1743192625548,9.203311,4.546589,2.1188686
1743192626080,B0:4A:6A:49:5A:61,50,1743192625569,8.391677,1.3479356,4.3358994
1743192626104,B0:4A:6A:49:5A:61,51,1743192625588,7.359776,0.49320555,4.003105
1743192626123,B0:4A:6A:49:5A:61,52,1743192625608,10.931925,3.9025488,0.5291186
