filename,duration,total_frames
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/scenarios/scenario_5.avi,57.4,1722
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/scenarios/scenario_7.avi,44.63333333333333,1339
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/scenarios/scenario_8.avi,43.36666666666667,1301
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/19-10-2023-12-59-03.avi,11.033333333333333,331
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/14-08-2023-14-26-27.avi,9.933333333333334,298
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/14-08-2023-14-24-38.avi,9.366666666666667,281
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/14-08-2023-14-19-27.avi,15.6,468
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/14-08-2023-14-20-34.avi,12.5,375
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/14-08-2023-14-27-06.avi,9.2,276
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/14-08-2023-14-23-47.avi,10.833333333333334,325
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/29-08-2023-21-12-11.avi,132.46666666666667,3974
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/29-08-2023-20-38-51.avi,22.066666666666666,662
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/19-10-2023-12-54-45.avi,15.166666666666666,455
