sw_epoch_ms,wrist_position,sensor_type,value_X_Axis,value_Y_Axis,value_Z_Axis,seq_num,server_epoch_ms,filled_server_epoch_ms
82617198916778,right,acc,-6.3733649253845215,1.3096283674240112,5.837063789367676,1,1701203048912000.0,1701203048912000
82617198916778,right,acc,-0.4068362414836883,-1.2620476484298706,-0.5143485069274902,2,1701203048912000.0,1701203048912000
82617218997345,right,acc,-6.3733649253845215,1.3096283674240112,5.837063789367676,3,1701203048912000.0,1701203048912000
82617218997345,right,acc,-6.392293453216553,-0.0787367075681686,7.436583518981934,4,1701203048912000.0,1701203048912000
82617218997345,right,acc,-0.4068362414836883,-1.2620476484298706,-0.5143485069274902,5,1701203048912000.0,1701203048912000
82617239077911,right,acc,-6.3733649253845215,1.3096283674240112,5.837063789367676,6,1701203048912000.0,1701203048912000
82617239077911,right,acc,-6.392293453216553,-0.0787367075681686,7.436583518981934,7,1701203048912000.0,1701203048912000
82617239077911,right,acc,-0.4068362414836883,-1.2620476484298706,-0.5143485069274902,8,1701203048912000.0,1701203048912000
82617259158477,right,acc,-6.3733649253845215,1.3096283674240112,5.837063789367676,9,1701203048912000.0,1701203048912000
82617259158477,right,acc,-0.4068362414836883,-1.2620476484298706,-0.5143485069274902,10,1701203048912000.0,1701203048912000
82617259158477,right,acc,-6.392293453216553,-0.0787367075681686,7.436583518981934,11,1701203048912000.0,1701203048912000
82617279269561,right,acc,-6.3733649253845215,1.3096283674240112,5.837063789367676,12,1701203048912000.0,1701203048912000
82617279269561,right,acc,-0.4068362414836883,-1.2620476484298706,-0.5143485069274902,13,1701203048912000.0,1701203048912000
82617279269561,right,acc,-6.392293453216553,-0.0787367075681686,7.436583518981934,14,1701203048912000.0,1701203048912000
82617299350128,right,acc,-6.36378812789917,-0.9241618514060974,8.324639320373535,15,1701203048912000.0,1701203048912000
82617299350128,right,acc,-6.112514495849609,-0.3305284976959228,7.661481857299805,16,1701203048912000.0,1701203048912000
82617299350128,right,acc,-0.180816113948822,-1.3255776166915894,-0.8515461683273315,17,1701203048912000.0,1701203048912000
82617319430694,right,acc,-6.36378812789917,-0.9241618514060974,8.324639320373535,18,1701203048943000.0,1701203048943000
82617319430694,right,acc,-6.112514495849609,-0.3305284976959228,7.661481857299805,19,1701203048943000.0,1701203048943000
82617319430694,right,acc,-0.180816113948822,-1.3255776166915894,-0.8515461683273315,20,1701203048943000.0,1701203048943000
82617339541778,right,acc,-6.36378812789917,-0.9241618514060974,8.324639320373535,21,1701203048943000.0,1701203048943000
82617339541778,right,acc,-6.112514495849609,-0.3305284976959228,7.661481857299805,22,1701203048943000.0,1701203048943000
82617339541778,right,acc,-0.180816113948822,-1.3255776166915894,-0.8515461683273315,23,1701203048943000.0,1701203048943000
82617359591827,right,acc,-6.36378812789917,-0.9241618514060974,8.324639320373535,24,1701203048943000.0,1701203048943000
82617359591827,right,acc,-0.180816113948822,-1.3255776166915894,-0.8515461683273315,25,1701203048943000.0,1701203048943000
82617359591827,right,acc,-6.112514495849609,-0.3305284976959228,7.661481857299805,26,1701203048943000.0,1701203048943000
82617379733429,right,acc,-6.36378812789917,-0.9241618514060974,8.324639320373535,27,1701203048943000.0,1701203048943000
82617379733429,right,acc,-0.180816113948822,-1.3255776166915894,-0.8515461683273315,28,1701203048943000.0,1701203048943000
82617379733429,right,acc,-6.112514495849609,-0.3305284976959228,7.661481857299805,29,1701203048943000.0,1701203048943000
82617399813995,right,acc,-6.36378812789917,-0.9241618514060974,8.324639320373535,30,1701203048943000.0,1701203048943000
82617399813995,right,acc,-0.180816113948822,-1.3255776166915894,-0.8515461683273315,31,1701203048943000.0,1701203048943000
82617399813995,right,acc,-6.112514495849609,-0.3305284976959228,7.661481857299805,32,1701203048943000.0,1701203048943000
82617419894561,right,acc,-6.36378812789917,-0.9241618514060974,8.324639320373535,33,1701203048943000.0,1701203048943000
82617419894561,right,acc,0.2455678284168243,-0.977384388446808,-0.9553932547569276,34,1701203048943000.0,1701203048943000
82617419894561,right,acc,-5.898717403411865,-0.4763281345367431,7.819758415222168,35,1701203048943000.0,1701203048943000
82617439975128,right,acc,-6.011840343475342,-2.2242133617401123,8.678980827331543,36,1701203048975000.0,1701203048975000
82617439975128,right,acc,0.2455678284168243,-0.977384388446808,-0.9553932547569276,37,1701203048975000.0,1701203048975000
82617439975128,right,acc,-5.898717403411865,-0.4763281345367431,7.819758415222168,38,1701203048975000.0,1701203048975000
82617460025177,right,acc,-6.011840343475342,-2.2242133617401123,8.678980827331543,39,1701203048975000.0,1701203048975000
82617460025177,right,acc,-5.898717403411865,-0.4763281345367431,7.819758415222168,40,1701203048975000.0,1701203048975000
82617460025177,right,acc,0.2455678284168243,-0.977384388446808,-0.9553932547569276,41,1701203048975000.0,1701203048975000
82617480075225,right,acc,-6.011840343475342,-2.2242133617401123,8.678980827331543,42,1701203048975000.0,1701203048975000
82617480075225,right,acc,-5.898717403411865,-0.4763281345367431,7.819758415222168,43,1701203048975000.0,1701203048975000
82617480075225,right,acc,0.2455678284168243,-0.977384388446808,-0.9553932547569276,44,1701203048975000.0,1701203048975000
82617500155792,right,acc,-6.011840343475342,-2.2242133617401123,8.678980827331543,45,1701203048975000.0,1701203048975000
82617500155792,right,acc,-5.898717403411865,-0.4763281345367431,7.819758415222168,46,1701203048975000.0,1701203048975000
82617500155792,right,acc,0.2455678284168243,-0.977384388446808,-0.9553932547569276,47,1701203048975000.0,1701203048975000
82617520236358,right,acc,-6.011840343475342,-2.2242133617401123,8.678980827331543,48,1701203048975000.0,1701203048975000
